CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Age,Under 30,Married,Number of Dependents,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Internet Type,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score
8950-MTZNV          ,1,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,44.95,44.95,0,3256,61,0,0,0,0,0,Offer E,13.63,DSL,13,0,0,0,1,0.0,0.0,13.63,58.58,5
8430-TWCBX          ,0,0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Auto Credit card,20.7,1032.05,0,4074,62,0,1,0,0,0,None,29.18,None,0,0,0,0,0,0.0,0.0,1429.82,2461.87,3
7124-UGSUR          ,0,1,1,0,61,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Auto Credit card,104.4,6405.0,1,4412,77,0,1,0,1,1,None,35.11,Fiber Optic,17,1,0,0,1,0.0,0.0,2141.71,8546.71,1
1415-YFWLT          ,0,1,0,0,1,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,E- check,89.3,89.3,1,3067,68,0,0,0,0,0,Offer E,30.23,Fiber Optic,30,0,0,0,1,0.0,0.0,30.23,119.53,1
6292-TOSSS          ,1,0,0,0,50,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Auto Bank transfer,24.9,1195.25,0,4297,64,0,0,0,0,0,Offer B,47.16,None,0,0,0,0,0,0.0,0.0,2358.0,3553.25,4
9605-WGJVW          ,0,1,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,E- check,70.2,70.2,0,2422,69,0,0,0,0,0,None,22.34,Fiber Optic,12,0,0,0,1,0.0,0.0,22.34,92.54,5
1227-UDMZR          ,0,0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Auto Bank transfer,91.15,6637.9,0,4311,53,0,1,0,1,4,None,2.95,Cable,26,1,1,1,1,0.0,0.0,212.4,6850.3,4
9691-HKOVS          ,0,0,1,0,55,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,E- check,90.15,4916.95,0,4712,20,1,1,0,1,8,Offer B,47.46,DSL,53,1,1,1,1,0.0,0.0,2610.3,7527.25,3
1125-SNVCK          ,0,1,0,0,49,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,43.8,2106.05,0,5651,78,0,0,0,0,0,None,35.65,DSL,3,0,0,0,1,20.45,0.0,1746.85,3832.45,5
0565-IYCGT          ,1,0,0,0,69,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Auto Credit card,78.6,5356.45,1,6230,51,0,0,0,0,0,Offer A,29.38,DSL,9,1,1,1,1,0.0,0.0,2027.22,7383.67,1
